threshold,fpr,tpr
1.00000001,0.0,0.0
0.9995120763778687,0.0,0.0011098779134295228
0.9995039701461792,0.0,0.0022197558268590455
0.9982604384422302,0.0,0.008879023307436182
0.9981867671012878,0.0,0.009988901220865706
0.9980241060256958,0.0,0.011098779134295227
0.9986972212791443,0.0,0.004439511653718091
0.998839795589447,0.0,0.003329633740288568
0.9986555576324463,0.0,0.005549389567147614
0.9985045194625854,0.0,0.006659267480577136
0.9982890486717224,0.0,0.00776914539400666
0.9976840019226074,0.0003225806451612903,0.016648168701442843
0.9976811408996582,0.0003225806451612903,0.017758046614872364
0.997549831867218,0.0003225806451612903,0.018867924528301886
0.9977254271507263,0.0003225806451612903,0.01220865704772475
0.9980201721191406,0.0003225806451612903,0.011098779134295227
0.9976993203163147,0.0003225806451612903,0.013318534961154272
0.9976909160614014,0.0003225806451612903,0.014428412874583796
0.9976843595504761,0.0003225806451612903,0.01553829078801332
0.9974029660224915,0.0003225806451612903,0.01997780244173141
0.9964917302131653,0.0006451612903225806,0.025527192008879023
0.9970048069953918,0.0006451612903225806,0.022197558268590455
0.9971179962158203,0.0006451612903225806,0.01997780244173141
0.9969273209571838,0.0006451612903225806,0.0244173140954495
0.9969481825828552,0.0006451612903225806,0.023307436182019976
0.9970834851264954,0.0006451612903225806,0.021087680355160933
0.9964408278465271,0.000967741935483871,0.025527192008879023
0.995745837688446,0.000967741935483871,0.03218645948945616
0.9956486821174622,0.000967741935483871,0.033296337402885685
0.9955325126647949,0.000967741935483871,0.03440621531631521
0.9963621497154236,0.000967741935483871,0.026637069922308545
0.9963357448577881,0.000967741935483871,0.02774694783573807
0.996071457862854,0.000967741935483871,0.02885682574916759
0.9958171248435974,0.000967741935483871,0.029966703662597113
0.9957960844039917,0.000967741935483871,0.03107658157602664
0.9953737854957581,0.0012903225806451613,0.03662597114317425
0.995371401309967,0.0012903225806451613,0.03773584905660377
0.9955039620399475,0.0012903225806451613,0.03551609322974473
0.9955049157142639,0.0012903225806451613,0.03440621531631521
0.9952008724212646,0.0016129032258064516,0.041065482796892344
0.9952166080474854,0.0016129032258064516,0.03995560488346282
0.9952287673950195,0.0016129032258064516,0.038845726970033294
0.9953613877296448,0.0016129032258064516,0.03773584905660377
0.9950206279754639,0.0016129032258064516,0.042175360710321866
0.9950142502784729,0.001935483870967742,0.042175360710321866
0.9949759244918823,0.001935483870967742,0.04439511653718091
0.9949797987937927,0.001935483870967742,0.04328523862375139
0.9944021105766296,0.0022580645161290325,0.048834628190899
0.9944960474967957,0.0022580645161290325,0.04772475027746948
0.9948697090148926,0.0022580645161290325,0.04439511653718091
0.9947163462638855,0.0022580645161290325,0.04550499445061043
0.9943259358406067,0.0022580645161290325,0.051054384017758046
0.9943755865097046,0.0022580645161290325,0.049944506104328525
0.994608998298645,0.0022580645161290325,0.04661487236403995
0.9943140745162964,0.0025806451612903226,0.051054384017758046
0.993804931640625,0.002903225806451613,0.058823529411764705
0.9940610527992249,0.002903225806451613,0.05438401775804662
0.9941579103469849,0.002903225806451613,0.051054384017758046
0.9941540360450745,0.002903225806451613,0.05216426193118757
0.9940937161445618,0.002903225806451613,0.05327413984461709
0.994055986404419,0.002903225806451613,0.05549389567147614
0.9935773015022278,0.002903225806451613,0.05993340732519423
0.9940171241760254,0.002903225806451613,0.05660377358490566
0.9935478568077087,0.002903225806451613,0.06104328523862375
0.9939963817596436,0.002903225806451613,0.05771365149833518
0.9931153655052185,0.0032258064516129032,0.06215316315205328
0.9931545257568359,0.0032258064516129032,0.06104328523862375
0.9930116534233093,0.0032258064516129032,0.06326304106548279
0.9929318428039551,0.0032258064516129032,0.06437291897891231
0.9928701519966125,0.0035483870967741938,0.06437291897891231
